No,Value,Cluster
519,4319.8,1
520,4316.4,1
521,4334.8,1
522,4383.6,1
523,4407.3,1
524,4398.2,1
525,4396.6,1
526,4398.1,1
527,4404,1
528,4395.7,1
529,4396.1,1
530,4381.3,1
531,4353.7,1
532,4377.3,1
533,4382.9,1
534,4372.6,1
535,4381.8,1
536,4348.2,1
537,4335.8,1
538,4326.1,1
539,4341.1,1
540,4337.9,1
541,4338.8,1
542,4352.1,1
543,4365.4,1
544,4369.7,1
545,4365.6,1
546,4360.7,1
547,4354.9,1
548,4361.3,1
549,4365.3,1
550,4371.4,1
551,4355.7,1
552,4335.3,1
553,4332.2,1
554,4344.2,1
555,4342.3,1
556,4335.4,1
557,4323.8,1
558,4322.6,1
559,4341.6,1
560,4352.6,1
561,4342.8,1
562,4335.3,1
563,4329.3,1
564,4342.2,1
565,4349.4,1
566,4344.8,1
567,4340.2,1
568,4337.6,1
569,4339,1
570,4358.4,1
571,4433.9,1
572,4436.5,1
573,4442.1,1
574,4439.3,1
575,4430.5,1
576,4432.3,1
577,4425.4,1
578,4420.6,1
579,4432,1
580,4443.7,1
581,4446.6,1
582,4449,1
583,4448.9,1
584,4450.2,1
585,4463.4,1
586,4457.3,1
587,4458.9,1
588,4482,1
589,4519.6,1
590,4535.6,1
591,4563.7,1
592,4548.1,1
593,4551,1
594,4547.7,1
595,4541.7,1
596,4586.3,1
597,4590.7,1
598,4577.4,1
599,4594.1,1
600,4600.9,1
